iterations,fitness,time,fevals
0,15.0,0.072319595,1000
10,21.0,0.133862763,2100
20,19.0,0.190916453,3200
30,24.0,0.249997355,4300
40,23.0,0.309633288,5400
50,30.0,0.364071184,6500
60,24.0,0.417674346,7600
70,26.0,0.470055127,8700
80,26.0,0.525781045,9800
90,25.0,0.582419009,10900
100,26.0,0.636304062,12000
110,24.0,0.690558893,13100
120,27.0,0.742752962,14200
130,25.0,0.796133674,15300
140,25.0,0.849242705,16400
150,23.0,0.900384329,17500
160,24.0,0.952059104,18600
170,23.0,1.004849411,19700
180,24.0,1.059708139,20800
190,25.0,1.113698582,21900
200,24.0,1.164834737,23000
210,26.0,1.221204666,24100
220,25.0,1.275798277,25200
230,30.0,1.330437472,26300
240,25.0,1.386119265,27400
250,28.0,1.43942923,28500
260,30.0,1.492348266,29600
270,27.0,1.546090003,30700
280,29.0,1.599202316,31800
290,33.0,1.654881556,32900
300,27.0,1.707221858,34000
310,25.0,1.757062332,35100
320,30.0,1.807306498,36200
330,31.0,1.860531859,37300
340,31.0,1.913785664,38400
350,33.0,1.965101966,39500
360,41.0,2.015863967,40600
370,38.0,2.067243722,41700
380,32.0,2.115757519,42800
390,32.0,2.164863179,43900
400,34.0,2.2147073,45000
410,37.0,2.260638124,46100
420,38.0,2.30589321,47200
430,38.0,2.350934963,48300
440,31.0,2.399673397,49400
450,41.0,2.448480755,50500
460,37.0,2.496650301,51600
470,33.0,2.547100871,52700
480,31.0,2.592384767,53800
490,32.0,2.638408583,54900
500,35.0,2.683882837,56000
510,39.0,2.731960851,57100
520,38.0,2.776710502,58200
530,33.0,2.823551548,59300
540,38.0,2.870034121,60400
550,38.0,2.917573878,61500
560,38.0,2.964531254,62600
570,38.0,3.013208789,63700
580,41.0,3.062365138,64800
590,39.0,3.106699792,65900
600,38.0,3.155162899,67000
610,39.0,3.19958471,68100
620,45.0,3.245981585,69200
630,42.0,3.292602004,70300
640,38.0,3.338023016,71400
650,38.0,3.382527972,72500
660,39.0,3.432327602,73600
670,40.0,3.480133206,74700
680,39.0,3.524266561,75800
690,38.0,3.571870865,76900
700,38.0,3.621413402,78000
710,41.0,3.668471792,79100
720,42.0,3.714022263,80200
730,39.0,3.759467344,81300
740,39.0,3.808558416,82400
750,39.0,3.855039895,83500
760,39.0,3.903398706,84600
770,39.0,3.950486635,85700
780,38.0,4.001485308,86800
790,38.0,4.047369454,87900
800,39.0,4.094178409,89000
810,39.0,4.140001655,90100
820,39.0,4.18565861,91200
830,39.0,4.230005663,92300
840,40.0,4.274885137,93400
850,39.0,4.320587676,94500
860,43.0,4.368180676,95600
870,42.0,4.414279978,96700
880,44.0,4.461755553,97800
890,43.0,4.509492598,98900
900,44.0,4.558837848,100000
910,44.0,4.608229776,101100
920,43.0,4.657153829,102200
930,44.0,4.704559387,103300
940,44.0,4.751535726,104400
950,44.0,4.797872794,105500
960,43.0,4.84447425,106600
970,42.0,4.891500184,107700
980,43.0,4.941020111,108800
990,44.0,4.985948087,109900
1000,48.0,5.030581043,111000
1010,44.0,5.079188196,112100
1020,45.0,5.127237036,113200
1030,44.0,5.172248521,114300
1040,43.0,5.216939824,115400
1050,39.0,5.261959332,116500
1060,39.0,5.308180071,117600
1070,44.0,5.352515454,118700
