,iterations,SA 0.15 fitness,SA 0.15 time,SA 0.15 feval,SA 0.35 fitness,SA 0.35 time,SA 0.35 feval,SA 0.55 fitness,SA 0.55 time,SA 0.55 feval,SA 0.75 fitness,SA 0.75 time,SA 0.75 feval,SA 0.95 fitness,SA 0.95 time,SA 0.95 feval,SA fitness,SA time,RHC fitness,RHC time,RHC feval,"GA (100,50,50) fitness","GA (100,50,50) time","GA (100,50,50) feval","GA (100,50,30) fitness","GA (100,50,30) time","GA (100,50,30) feval","GA (100,50,10) fitness","GA (100,50,10) time","GA (100,50,10) feval","GA (100,30,50) fitness","GA (100,30,50) time","GA (100,30,50) feval","GA (100,30,30) fitness","GA (100,30,30) time","GA (100,30,30) feval","GA (100,30,10) fitness","GA (100,30,10) time","GA (100,30,10) feval","GA (100,10,50) fitness","GA (100,10,50) time","GA (100,10,50) feval","GA (100,10,30) fitness","GA (100,10,30) time","GA (100,10,30) feval","GA (100,10,10) fitness","GA (100,10,10) time","GA (100,10,10) feval",GA fitness,GA time,"MIMIC (100,50,0.1) fitness","MIMIC (100,50,0.1) time","MIMIC (100,50,0.1) feval","MIMIC (100,50,0.3) fitness","MIMIC (100,50,0.3) time","MIMIC (100,50,0.3) feval","MIMIC (100,50,0.5) fitness","MIMIC (100,50,0.5) time","MIMIC (100,50,0.5) feval","MIMIC (100,50,0.7) fitness","MIMIC (100,50,0.7) time","MIMIC (100,50,0.7) feval","MIMIC (100,50,0.9) fitness","MIMIC (100,50,0.9) time","MIMIC (100,50,0.9) feval",MIMIC fitness,MIMIC time
10,100,11.6,0.00018525399999914,111.0,9.2,0.00011355839999996,111.0,9.4,0.00013850200000093999,111.0,9.0,0.00013485459999996,111.0,7.6,0.0034943622000004,111.0,9.36,0.00081330624000008,13.200000000000001,0.0008757245999998,111.0,27.8,0.009461053399999999,7762.799999999999,27.8,0.0069893066,7022.5999999999985,22.0,0.0058504354,6130.0,26.2,0.007757452799998,6422.199999999999,29.199999999999996,0.0056357898,5403.4,20.8,0.004471974999998,4137.400000000001,24.4,0.005102785200000001,5131.6,22.799999999999997,0.0044718286,3770.6,21.0,0.0035451966000000002,2155.0,24.666666666666668,0.005920647044444,19.4,0.6292009775999999,12000.0,26.4,0.6202549126,12000.0,28.6,0.6796118734000001,12000.0,28.200000000000003,0.7070831369999999,12000.0,35.199999999999996,0.7119070932,12000.0,27.560000000000002,0.6696115987599999
11,110,11.8,0.00019546499999938003,121.0,9.600000000000001,0.00012544660000014,121.0,9.4,0.00014936920000062,121.0,9.0,0.00014776420000024,121.0,7.4,0.0035048646000001397,121.0,9.440000000000001,0.000824581920000104,13.200000000000001,0.0009579215999998001,121.0,28.200000000000003,0.0103074574,8459.2,28.999999999999996,0.007579564800000001,7654.4,21.8,0.006336762199998,6678.6,27.6,0.008316932599996,6999.400000000001,29.4,0.006118470000000001,5884.2,21.0,0.004840147999998,4502.0,25.199999999999996,0.0055683984,5587.8,24.0,0.004829937000002,4102.200000000001,22.0,0.0038102403999999996,2340.0,25.355555555555554,0.006411990088888221,20.8,0.6769052755999999,13100.0,24.8,0.6732805794000001,13100.0,30.0,0.7400166086,13100.0,28.8,0.7693060546,13100.0,38.2,0.7775004572,13100.0,28.520000000000003,0.72740179508
12,120,12.0,0.0002118023999992,131.0,9.600000000000001,0.0001372620000004,131.0,9.4,0.00016118460000060002,131.0,9.0,0.0001608924000004,131.0,6.199999999999999,0.0035139814000002,131.0,9.24,0.00083702456000016,13.200000000000001,0.0010081731999998,131.0,28.0,0.0109282024,9157.4,29.000000000000004,0.0081704064,8283.800000000001,22.400000000000002,0.006819661199998001,7224.599999999999,28.599999999999994,0.008852708999998,7579.000000000001,28.799999999999997,0.0065862712,6368.0,21.0,0.005224731200000001,4867.0,27.000000000000004,0.0059850726,6038.2,23.999999999999996,0.0052228348000019995,4428.8,22.199999999999996,0.004088777,2526.8,25.66666666666666,0.006875407311110889,20.0,0.7244752278,14200.0,24.799999999999997,0.7266663964,14200.0,29.6,0.7994376768000001,14200.0,32.0,0.8307544086,14200.0,38.00000000000001,0.844737836,14200.0,28.880000000000003,0.7852143091200001
13,130,12.0,0.0002217943999992,141.0,10.0,0.0001482752,141.0,9.4,0.0001734374000008,141.0,9.4,0.0001748228000004,141.0,7.199999999999999,0.0035249944000003996,141.0,9.6,0.00084866484000016,13.200000000000001,0.0010396807999998002,141.0,28.400000000000002,0.011573671999998,9851.6,29.000000000000004,0.0087238326,8914.8,22.400000000000002,0.007306425999998,7771.400000000001,29.0,0.009412553799998,8149.4,29.6,0.007063554,6846.000000000001,21.6,0.0056027504,5235.4,28.599999999999998,0.0064007262,6496.999999999999,25.2,0.005613982000002,4761.8,22.6,0.0043676782,2712.3999999999996,26.266666666666666,0.007340575022221778,20.599999999999998,0.7696800624,15300.0,25.400000000000002,0.7802416244,15300.0,30.200000000000003,0.8585748113999999,15300.0,31.4,0.8905079124,15300.0,37.4,0.906516291,15300.0,29.0,0.8411041403199999
14,140,12.0,0.0002332451999996,151.0,10.200000000000001,0.00015834020000060002,151.0,9.4,0.00018474220000059999,151.0,9.4,0.0001873676000006,151.0,7.0,0.003534329800001,151.0,9.6,0.00085960500000048,13.200000000000001,0.0010842435999998002,151.0,31.2,0.012187196399997999,10552.0,29.8,0.0092688718,9545.0,23.4,0.007795961999998,8318.8,29.200000000000003,0.009968532999996,8730.8,29.8,0.007523989399999999,7328.6,21.800000000000004,0.005961442399999999,5606.599999999999,29.4,0.0072102981999979995,6957.8,26.200000000000003,0.006023873600002,5097.799999999999,23.0,0.0046484032,2898.0,27.08888888888889,0.007843174444443555,20.2,0.813899334,16400.0,25.4,0.8331407498000001,16400.0,30.999999999999996,0.9168211249999999,16400.0,33.0,0.9519060146,16400.0,37.8,0.9685198948,16400.0,29.48,0.8968574236400001
15,150,12.2,0.0002437477999994,161.0,10.4,0.00016891580000040002,161.0,9.4,0.0001958280000006,161.0,10.2,0.0002001308000008,161.0,6.2,0.0035444678000008,161.0,9.68,0.0008706180400004,13.200000000000001,0.0012041479999998,161.0,31.4,0.012782779199998,11247.800000000001,29.8,0.009818068,10183.2,22.6,0.008262012599998,8867.6,29.800000000000004,0.010555509399998,9311.8,30.8,0.0079852998,7813.799999999999,22.000000000000004,0.0063322408,5975.4,30.2,0.0076466651999979995,7414.800000000001,25.4,0.006377897400002001,5435.200000000001,22.799999999999997,0.004931972199998,3085.7999999999997,27.199999999999996,0.008299160511110222,20.4,0.8599197214,17500.0,25.799999999999997,0.8854951282000001,17500.0,31.4,0.9751323502,17500.0,33.6,1.013632249,17500.0,39.0,1.0362975712,17500.0,30.04,0.9540954039999999
16,160,12.6,0.0002528643999994,171.0,10.799999999999999,0.0001797098000004,171.0,9.4,0.00020844580000020004,171.0,10.399999999999999,0.00021770820000080002,171.0,6.2,0.0035538762000008,171.0,9.879999999999999,0.0008825208800003199,13.200000000000001,0.0012481275999998,171.0,32.0,0.013393459199998,11942.800000000001,29.8,0.0103482282,10816.2,23.4,0.008774158399997999,9413.0,30.4,0.011125345999998,9889.0,31.4,0.008492558800000001,8297.4,22.200000000000003,0.006685243600000001,6339.2,31.2,0.0081201554,7871.400000000001,25.2,0.006779255800004,5762.0,23.4,0.005226700399999999,3276.0,27.66666666666667,0.008771678422222,20.0,0.9052689662000001,18600.0,26.199999999999996,0.9382030926,18600.0,32.0,1.034015673,18600.0,35.6,1.0730840226000002,18600.0,40.0,1.0984072216,18600.0,30.759999999999998,1.0097957952
17,170,13.4,0.00026249159999960003,181.0,10.799999999999999,0.0001897748000008,181.0,9.4,0.0002201152,181.0,11.8,0.0002330976000008,181.0,6.0,0.0035639410000008,181.0,10.28,0.0008938840400004,13.8,0.0012975771999998,181.0,32.8,0.0139912298,12638.4,30.199999999999996,0.0109012902,11445.4,24.2,0.009718513399999998,9956.8,31.2,0.011692921799998,10471.4,31.6,0.008984282799998,8785.4,22.000000000000004,0.007058886800000001,6704.599999999999,33.2,0.0085619192,8331.4,27.0,0.0071868864,6093.599999999999,23.0,0.005509029799998,3461.2,28.355555555555554,0.009289440022221557,21.0,0.9525358032,19700.0,26.4,0.9902565433999999,19700.0,32.8,1.0913511084,19700.0,36.2,1.1323738090000002,19700.0,39.599999999999994,1.1577579082,19700.0,31.2,1.06485503444
18,180,14.0,0.0002712435999992,191.0,11.4,0.00019903720000059998,191.0,9.4,0.00023207639999980003,191.0,11.8,0.000247101400001,191.0,6.2,0.0035753918000006,191.0,10.56,0.0009049700800002399,13.8,0.0013488501999998003,191.0,33.6,0.014589584000000003,13335.800000000001,30.400000000000006,0.011440421599999999,12079.400000000001,23.6,0.010178292,10504.400000000001,31.799999999999997,0.0124571288,11044.400000000001,32.199999999999996,0.009447416599998,9267.4,22.0,0.0074210796,7072.2,32.800000000000004,0.008987637600002,8785.0,26.6,0.007562863600002,6432.000000000001,23.2,0.005795442999996,3647.5999999999995,28.46666666666667,0.009764429644444222,20.400000000000002,0.9977369182,20800.0,26.8,1.0431140232,20800.0,33.6,1.1507619658000001,20800.0,37.8,1.1908498660000002,20800.0,40.0,1.216904014,20800.0,31.720000000000002,1.11987335744
19,190,14.2,0.00028021479999939993,201.0,11.4,0.0002120196000002,201.0,9.4,0.0002457152,201.0,11.8,0.000259938000001,201.0,6.6,0.0035850190000006007,201.0,10.68,0.0009165813200002401,13.8,0.0013781695999998,201.0,34.0,0.0157094926,14028.399999999998,30.400000000000006,0.012380984000000001,12710.399999999998,23.6,0.010646458400000001,11052.4,32.4,0.0130589108,11620.8,32.6,0.009913540599998001,9756.800000000001,23.000000000000004,0.007784657800000001,7437.6,32.4,0.009412262000002,9237.4,27.200000000000003,0.0079367984,6766.8,23.800000000000004,0.006091264999995999,3833.2,28.822222222222226,0.010326041066666224,20.6,1.0433878926,21900.0,26.400000000000002,1.0946659038,21900.0,35.0,1.20782025,21900.0,38.4,1.2485857112,21900.0,42.2,1.2748487436,21900.0,32.519999999999996,1.17386170024
