,iterations,SA 0.15 fitness,SA 0.15 time,SA 0.15 feval,SA 0.35 fitness,SA 0.35 time,SA 0.35 feval,SA 0.55 fitness,SA 0.55 time,SA 0.55 feval,SA 0.75 fitness,SA 0.75 time,SA 0.75 feval,SA 0.95 fitness,SA 0.95 time,SA 0.95 feval,SA fitness,SA time,RHC fitness,RHC time,RHC feval,"GA (100,50,50) fitness","GA (100,50,50) time","GA (100,50,50) feval","GA (100,50,30) fitness","GA (100,50,30) time","GA (100,50,30) feval","GA (100,50,10) fitness","GA (100,50,10) time","GA (100,50,10) feval","GA (100,30,50) fitness","GA (100,30,50) time","GA (100,30,50) feval","GA (100,30,30) fitness","GA (100,30,30) time","GA (100,30,30) feval","GA (100,30,10) fitness","GA (100,30,10) time","GA (100,30,10) feval","GA (100,10,50) fitness","GA (100,10,50) time","GA (100,10,50) feval","GA (100,10,30) fitness","GA (100,10,30) time","GA (100,10,30) feval","GA (100,10,10) fitness","GA (100,10,10) time","GA (100,10,10) feval",GA fitness,GA time,"MIMIC (100,50,0.1) fitness","MIMIC (100,50,0.1) time","MIMIC (100,50,0.1) feval","MIMIC (100,50,0.3) fitness","MIMIC (100,50,0.3) time","MIMIC (100,50,0.3) feval","MIMIC (100,50,0.5) fitness","MIMIC (100,50,0.5) time","MIMIC (100,50,0.5) feval","MIMIC (100,50,0.7) fitness","MIMIC (100,50,0.7) time","MIMIC (100,50,0.7) feval","MIMIC (100,50,0.9) fitness","MIMIC (100,50,0.9) time","MIMIC (100,50,0.9) feval",MIMIC fitness,MIMIC time
10,100,524.6,0.00041076700000000003,111.0,518.5999999999999,0.0003142012000002,111.0,521.6,0.00046641599999959997,111.0,504.0,0.00038341580000040003,111.0,498.4,0.000307272599999,111.0,513.4399999999999,0.00037641451999984,526.6,0.0064055356,111.0,539.8,0.045834079800000004,7771.2,560.6,0.0298774234,7030.6,546.4,0.0273878068,6111.6,543.6,0.029166020399999992,6444.0,545.6,0.0279804716,5406.8,545.2,0.0200837202,4143.0,540.2,0.0225985716,5127.200000000001,551.6,0.0246701998,3780.2,547.4,0.0187403432,2145.4,546.7111111111111,0.027370959644444443,727.4000000000001,67.8632728348,12000.0,747.4,74.20793445780001,12000.0,764.0,80.2148428766,12000.0,762.5999999999999,81.02561222099999,12000.0,739.2,84.97164865559999,12000.0,748.12,77.65666220916
11,110,525.8,0.0004429313999998,121.0,522.2,0.0003403116000002,121.0,522.4,0.0005009139999998,121.0,506.79999999999995,0.00041565279999999997,121.0,498.40000000000003,0.0003341853999988,121.0,515.1200000000001,0.00040679903999971996,528.2,0.006546955199999999,121.0,541.8,0.0483041488,8471.2,562.2,0.0322615026,7664.799999999999,544.6,0.0297790332,6658.6,542.0,0.0311563994,7013.6,546.6,0.029691074399999996,5888.800000000001,542.8000000000001,0.0217201494,4511.400000000001,539.0,0.024310779200000007,5582.799999999999,551.1999999999999,0.027407135600000004,4115.2,545.4,0.0199926266,2331.4,546.1777777777778,0.029402538800000003,729.4000000000001,73.1521212776,13100.0,747.0,80.1597707814,13100.0,768.0,86.1512948594,13100.0,765.8000000000001,87.3806731194,13100.0,738.8,91.7162445646,13100.0,749.8,83.71202092048
12,120,528.2,0.00047626259999959995,131.0,525.4000000000001,0.00036671380000059996,131.0,523.6,0.0005408089999998,131.0,509.20000000000005,0.00044555579999959997,131.0,496.0,0.00035825359999900003,131.0,516.4800000000001,0.00043751895999972,530.1999999999999,0.0067238938,131.0,539.5999999999999,0.050840223000000004,9171.8,565.0,0.0349270356,8296.800000000001,545.6,0.0317549716,7209.5999999999985,538.2,0.0334689296,7586.8,549.0,0.0317301008,6371.000000000001,542.2,0.0234121542,4880.8,538.4,0.026070466799999997,6041.200000000001,552.0,0.029619454200000006,4452.400000000001,543.8,0.021198815399999994,2518.4,545.9777777777779,0.03144690568888889,728.5999999999999,78.4188154646,14200.0,747.0,85.91418424140002,14200.0,768.3999999999999,92.1573497258,14200.0,769.0,93.6621734964,14200.0,747.8000000000001,98.35721778620001,14200.0,752.1599999999999,89.70194814288001
13,130,530.5999999999999,0.0005054363999997999,141.0,527.4,0.00039851300000059997,141.0,524.8,0.0005762549999998,141.0,512.8,0.00048187719999979995,141.0,496.0,0.0003806443999994,141.0,518.3199999999999,0.00046854519999987995,533.4,0.0068116337999998,141.0,542.4,0.0534043768,9878.0,563.6,0.037767756799999996,8926.6,547.6,0.034138978,7754.200000000001,539.6,0.0356362478,8161.4,548.2,0.0336080152,6852.799999999999,543.2,0.025095990000000002,5248.0,539.6,0.0281835216,6496.4,552.6,0.031125840600000006,4789.8,541.2,0.022309532799999997,2706.2,546.4444444444445,0.03347447328888889,730.6,83.76426849840001,15300.0,747.4,91.5596510962,15300.0,769.6,98.233056998,15300.0,771.8,99.88055441879999,15300.0,758.8000000000001,104.9745089958,15300.0,755.64,95.68240800144
14,140,531.4,0.0005409557999998,151.0,530.2,0.00043096860000060004,151.0,527.2,0.0006116284,151.0,515.1999999999999,0.0005107592,151.0,492.4,0.00040566079999899995,151.0,519.28,0.00049999455999988,538.2,0.0069013429999998,151.0,542.0,0.0559508806,10577.599999999999,561.6,0.0401447612,9555.0,546.8000000000001,0.0360654668,8302.4,541.4,0.0375057748,8739.0,547.4,0.0352883502,7324.2,543.0,0.026506686599999996,5616.4,541.6,0.030331731,6954.2,553.8,0.0325711808,5124.6,542.0,0.023490121399999998,2891.6,546.6222222222221,0.035317217044444446,733.8,89.08326086640001,16400.0,747.8,97.22321406500001,16400.0,770.8,104.30260860819999,16400.0,770.5999999999999,106.13638809359999,16400.0,761.4000000000001,111.50508035300001,16400.0,756.8800000000001,101.65011039724
15,150,534.1999999999999,0.0005769123999998,161.0,532.5999999999999,0.0004618928000006,161.0,529.2,0.0006609322000004001,161.0,517.1999999999999,0.0005398602000004,161.0,492.0,0.0004351989999992,161.0,521.04,0.00053495932000008,540.1999999999999,0.0070567661999998005,161.0,538.5999999999999,0.058273257200000005,11266.800000000001,563.6,0.0424914248,10179.599999999999,545.0,0.038067515399999995,8853.8,542.2,0.039220972800000004,9315.2,549.0,0.037168890399999995,7804.200000000001,544.6,0.028803755,5983.4,541.4,0.032161217,7403.4,554.4,0.0343177404,5458.200000000001,542.4,0.0249920588,3078.6,546.8,0.03727742575555556,733.8,94.3818285446,17500.0,747.8000000000001,102.88754291720001,17500.0,770.4000000000001,110.39451694,17500.0,773.8,112.2782987774,17500.0,768.0,117.9135836996,17500.0,758.76,107.57115417576
16,160,536.4,0.0006210378,171.0,533.8,0.0004896078000008,171.0,531.6,0.0006993690000005999,171.0,519.6,0.0005731184000004001,171.0,492.40000000000003,0.0004610173999994,171.0,522.76,0.00056883008000024,542.6,0.007116134799999599,171.0,543.5999999999999,0.06058702739999999,11963.8,566.1999999999999,0.0452739438,10814.2,545.0,0.0405086292,9404.6,544.6,0.0412011412,9898.0,551.1999999999999,0.0388231882,8285.0,543.4000000000001,0.0304872262,6348.2,544.6,0.034153856999999996,7864.0,552.2,0.03570291,5794.6,541.6,0.026283580800000005,3267.4,548.0444444444445,0.039224611533333335,733.8,99.608609976,18600.0,747.8,108.467134346,18600.0,771.2,116.47881500719998,18600.0,771.8,118.43107763199998,18600.0,771.2,124.31293188500001,18600.0,759.16,113.45971376924
17,170,538.0,0.0006626831999999999,181.0,536.6,0.0005171040000004,181.0,533.1999999999999,0.0007337212000002001,181.0,521.2,0.0006032406000002,181.0,491.6,0.000484647999999,181.0,524.12,0.00060027939999996,545.0,0.007175576199999801,181.0,540.1999999999999,0.0629764302,12656.599999999999,566.4,0.0474144218,11444.2,546.8,0.04236801800000001,9953.4,548.8000000000001,0.042948211,10479.8,548.8,0.0406740442,8772.199999999999,544.6,0.032726166,6713.4,545.0,0.0359372484,8323.6,551.0,0.0371894588,6122.6,541.6,0.027985504600000002,3452.6000000000004,548.1333333333333,0.04113550033333334,735.8,104.94751977479999,19700.0,748.1999999999999,113.98553105879999,19700.0,773.5999999999999,122.62048442399998,19700.0,775.8,124.5805791802,19700.0,772.2,130.7151265534,19700.0,761.1199999999999,119.36984819823999
18,180,540.0,0.0006978376,191.0,537.8000000000001,0.0005542274000006,191.0,535.5999999999999,0.0007860148000006001,191.0,522.4,0.0006402182,191.0,492.79999999999995,0.0005108317999988,191.0,525.7199999999999,0.00063782596,548.2,0.0072450097999998,191.0,539.2,0.0656715012,13354.400000000001,570.6,0.0498508674,12077.2,546.0,0.0445268754,10501.8,549.6,0.044792648399999996,11057.2,550.2,0.0425338712,9261.2,543.8000000000001,0.0343245232,7084.8,542.1999999999999,0.0376219598,8777.4,549.4,0.0391775768,6454.799999999999,540.8000000000001,0.0291035888,3639.0,547.9777777777778,0.043067045799999995,735.8,110.1899779406,20800.0,747.8,119.5145879334,20800.0,771.5999999999999,128.689131721,20800.0,772.5999999999999,130.75143810280002,20800.0,773.0,137.18714845120002,20800.0,760.16,125.2664568298
19,190,540.8,0.0007384620000000001,201.0,539.8,0.0005839848000001999,201.0,537.2,0.0008236490000003999,201.0,524.0,0.0006723092000000001,201.0,493.6,0.0005345357999992001,201.0,527.08,0.0006705881599999601,550.2,0.007303065799999999,201.0,540.6,0.0690680554,14049.400000000001,569.6,0.0519146186,12705.6,544.2,0.0463686144,11051.6,548.6,0.0471070752,11628.0,550.8,0.0448399834,9748.599999999999,544.4000000000001,0.0368616186,7452.200000000001,544.0,0.0393293534,9230.800000000001,550.4,0.041185168599999995,6788.800000000001,540.4000000000001,0.0303711882,3823.6,548.1111111111111,0.04522729731111111,737.4,115.50268453199999,21900.0,747.4,124.9955057836,21900.0,772.0,134.631602322,21900.0,775.4000000000001,137.00091306640002,21900.0,781.9999999999999,143.4942690712,21900.0,762.84,131.12499495504002
