Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
250,94.29586293,34.28750522,67.64521521,47.03301295,28.54157961,36.4814041,25.36564981,76.22231509,76.24320936,75.32386126,76.22231509,81.57535582,34.89959056,66.97211932,45.93488009,28.54357575,37.70715539,25.11210762,76.23318386,76.23318386,74.57594073,76.25268083,190.7463282,66.83753297,70.43118342,54.13756897,68.18224873,66.65873294,68.49231323,1658.205651,1603.877002,1410.323336,1079.151092
260,94.35854576,34.53823652,68.1153364,47.81654827,29.10572503,37.03510238,25.29251985,76.22231509,76.20142081,74.73882156,76.85959047,81.47787093,35.07506337,67.49853773,46.77325015,29.0310002,38.11659193,25.05361669,76.23318386,76.13569897,73.97153441,77.1690388,198.5715702,69.53842215,73.14480809,56.33116523,70.82806132,69.31553933,71.31889142,1723.494135,1668.672929,1468.20875,1122.097718
270,94.37944003,34.6427079,68.34517342,47.87923109,29.35645633,37.10823234,25.47012119,76.22231509,76.2536565,74.35227748,76.671542,81.5948528,35.27003314,68.06395009,47.02671086,29.40144278,38.13608891,25.3070774,76.23318386,76.17469292,73.56209787,76.66211737,206.4713066,72.23254591,75.85816545,58.49159447,73.46495946,71.95757682,74.09506776,1789.133848,1733.644802,1523.049835,1164.551288
280,94.42122858,35.24864187,68.57501045,48.01504388,29.57584622,37.24404513,25.5014626,76.22231509,76.11784371,74.67613874,77.51776013,81.63384675,35.60148177,68.16143498,47.22168064,29.51842464,38.42854358,25.32657438,76.25268083,76.15519594,73.67907974,77.53948138,214.3089074,74.91340542,78.61455534,60.65733955,76.07539218,74.61121894,76.87855688,1855.209823,1797.400115,1580.309496,1211.019796
290,94.52569996,35.84412871,69.26452152,48.09862098,29.76389469,37.93355621,25.49101546,76.22231509,76.07605516,74.94776431,77.16255746,81.67284071,36.42035485,68.55137454,47.29966855,29.59641256,38.89647105,25.22908949,76.23318386,76.13569897,74.16650419,77.11054787,222.1394025,77.94153631,81.32102038,62.83004769,78.97091768,77.28204154,79.55976684,1917.540651,1861.53403,1637.499047,1255.502114
300,94.54659423,36.46050982,69.43167572,49.10154618,30.11909737,39.06184705,25.52235687,76.22231509,76.15963226,74.95821145,76.88048475,81.5948528,37.27822188,68.9413141,48.70345097,30.08383701,39.77383506,25.1316046,76.23318386,76.07720803,73.99103139,76.64262039,229.4546822,80.56024164,83.97191724,64.99648237,81.87856017,79.95325289,82.25056843,1981.321087,1926.958266,1694.394297,1300.602791
310,94.58838278,36.73213539,69.56748851,49.28959465,30.11909737,39.42749687,25.14625992,76.22231509,76.1700794,74.2478061,77.3401588,81.55585884,37.62916748,69.09728992,48.62546305,30.22031585,40.02729577,24.80015598,76.23318386,76.13569897,73.7180737,77.40300253,236.7903045,83.25834763,86.66522523,67.17622907,84.46250776,82.59229094,84.9393315,2044.747578,1991.620118,1748.992842,1346.040552
320,94.55704137,37.21270372,71.01964062,50.44922691,31.01755119,40.43042206,25.01044714,76.22231509,76.06560802,74.52987881,77.35060593,81.57535582,38.27256775,69.77968415,49.48333008,31.21466173,40.90465978,24.74166504,76.23318386,75.99922012,73.7180737,77.28602067,244.0950714,85.93022998,89.40474534,69.33430033,87.09069168,85.22882842,87.59951112,2115.334768,2057.491201,1801.878886,1392.787361
330,94.55704137,37.30672796,71.16590054,51.60885917,31.05933974,40.09611366,25.12536565,76.22231509,76.1700794,75.37609695,76.73422482,81.49736791,38.27256775,70.22811464,50.65314876,31.01969195,40.69019302,24.72216806,76.23318386,76.07720803,74.10801326,76.60362644,251.4078779,88.561328,92.13403856,71.48241418,89.70457129,87.93003706,90.28210428,2184.639909,2120.92621,1858.043608,1437.456471
340,94.63017133,37.72461346,71.19724196,45.82114501,31.31007104,41.5273715,25.07312996,76.22231509,76.0865023,75.3343084,77.40284162,81.49736791,38.66250731,69.97465393,45.15500097,31.46812244,42.15246637,24.85864691,76.23318386,76.03821408,74.71241958,77.50048742,258.747637,91.22378974,94.80270194,73.65300212,92.30088642,90.60895541,92.95153748,2249.214936,2184.613208,1914.540963,1479.544329
350,94.64061847,38.36188884,71.65691601,53.40576682,31.44588383,40.87964898,25.13581279,76.22231509,76.12829085,75.44922691,76.98495612,81.47787093,39.28641061,70.4425814,52.7393254,31.64359524,41.64554494,24.97562878,76.23318386,76.09670501,74.34197699,77.14954182,266.0276572,93.8829676,97.53124758,75.80055401,94.92299561,93.34460707,95.61462208,2314.002883,2251.276292,1970.011441,1522.321479
360,94.6197242,38.61262014,72.04346009,55.16088592,31.60259089,44.09736732,25.32386126,76.22231509,76.13873799,75.13581279,77.23568742,81.43887697,39.63735621,71.16396958,54.45505947,31.83856502,44.74556444,25.01462273,76.23318386,76.07720803,73.97153441,77.67596023,273.3430375,96.58376051,100.2447224,77.94224779,97.54593479,96.02552018,98.26850525,2381.24331,2316.021977,2027.671522,1568.276497
370,94.75553698,39.69912244,71.9912244,55.76681989,31.85332219,44.6197242,25.12536565,76.22231509,76.10739657,74.98955286,76.93272043,81.53636186,40.63170209,71.53441217,54.76701111,31.87755898,45.36946773,24.91713784,76.23318386,76.09670501,74.03002535,77.03255995,280.6502682,99.26063413,102.9908099,80.08631487,100.1488578,98.7113221,100.9046624,2446.273797,2377.939752,2085.026262,1608.808111
