iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.198080415515,0.195850814503,0.197278931013,0.507730881738,0.511491851233,0.517839734841,0.298503636
10,0.193680112082,0.191555122733,0.193157328105,0.517551190974,0.522356874216,0.525443556249,2.92941239
20,0.17311662223,0.172639925232,0.173091548426,0.573234433765,0.569995821145,0.575160850068,5.649643475
30,0.171950942783,0.171414531608,0.172092449078,0.579502716256,0.576681989135,0.581789822578,8.262129303
40,0.165829606607,0.165362311736,0.166815981869,0.594233180109,0.591725867112,0.593098069799,11.980285765
50,0.163159955696,0.163399272209,0.164589578101,0.599247806101,0.596322607606,0.597192435173,15.507386274
60,0.16064999371,0.161446684093,0.162429122665,0.605098203092,0.600501462599,0.604211347241,18.589847644
70,0.158807657201,0.159701447086,0.160065168275,0.607918930213,0.603426661095,0.606161045038,21.39570364
80,0.157440469824,0.158788754985,0.158949498056,0.609903886335,0.60676974509,0.607915773055,24.114471292
90,0.155898541192,0.15714806233,0.157619061837,0.611888842457,0.605098203092,0.608305712615,26.769814611
100,0.153370801158,0.154424633541,0.155159207801,0.618261596323,0.611784371082,0.613179957107,29.484733866
110,0.151773722127,0.152656252529,0.153790710335,0.62338069369,0.619306310071,0.618249171378,32.270173995
120,0.149637447766,0.150407911491,0.15132551381,0.625052235687,0.621813623067,0.622148566972,34.978054695
130,0.148193980425,0.149331756516,0.150142030366,0.629126619306,0.627664020059,0.624683174108,37.709665043
140,0.148104971166,0.149232779807,0.150025422046,0.629544504806,0.627246134559,0.624488204328,40.475600624
150,0.146716525818,0.148004817315,0.148277147798,0.632156289177,0.628917676557,0.627802690583,43.193442008
160,0.140828675329,0.142463751375,0.142908940214,0.648558295027,0.645215211032,0.64184051472,46.175629544
170,0.139400599824,0.141116559213,0.141557283525,0.652632678646,0.649811951525,0.646519789433,48.918270163
180,0.13914220923,0.140868582948,0.141586150013,0.653886335144,0.648558295027,0.645739910314,51.613842408
190,0.138279886071,0.139935220104,0.140605121866,0.656916005015,0.652737150021,0.649054396569,54.318451623
200,0.138115495429,0.14010328626,0.140532503267,0.657333890514,0.652737150021,0.651004094365,57.039093695
210,0.136437703608,0.138232901736,0.139004539527,0.660676974509,0.658587547012,0.652563852603,59.701912815
220,0.132906462552,0.134694263034,0.135594256891,0.669034684496,0.664437944003,0.663092220706,62.376590381
230,0.133495452088,0.135217388251,0.136101834355,0.667989970748,0.662348516506,0.662897250926,65.1202375
240,0.13041321404,0.132551982006,0.133596603695,0.676347680735,0.670288340995,0.669526223435,67.739292916
250,0.130398934546,0.132535604268,0.13359281983,0.67645215211,0.671124111993,0.669721193215,70.431183422
260,0.127833360129,0.1295377046,0.131491464481,0.681153363978,0.676138737986,0.674985377267,73.144808088
