,Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
10,100,92.9481821981,31.0071040535,61.82615963229999,38.2051817802,24.3940660259,27.799832845799997,26.0760551609,75.5954868366,76.0238194735,76.23276222319998,76.6506477225,81.7898225775,31.3316435952,61.3179957107,36.7323064925,24.4102164165,28.3486059661,25.794501852200003,75.5507896276,76.0772080328,76.23318385649999,76.3111717684,75.503964543,24.191598221,29.484733866,21.641184885,27.548133762,26.688131453,26.910412554,677.744100249,630.252648339,560.226808784,426.77147081199996
11,110,93.1989134977,31.0071040535,62.338069368999996,39.1140827413,24.561220225699998,28.249059757599998,25.929795236100002,76.2223150857,76.1700793982,75.04178854989999,73.53740075220001,81.6728407097,31.487619419,61.82491713779999,37.668161435,24.468707350400003,28.914018327199997,25.638526028499996,76.23318385649999,76.2136868785,74.712419575,73.6985767206,82.774063782,26.549039978000003,32.270173995,23.777866230999997,30.288778162,29.373189076,29.760327638000003,744.191216443,693.639195813,616.751221196,471.00447234300003
12,120,93.3242791475,31.320518178,62.505223568699996,40.19013790219999,24.6447973255,28.437108232299995,25.835770998700003,76.2014208107,76.06560802339999,76.1491851233,74.63435018800001,81.4388769741,31.6825891987,62.214856697200005,38.9549619809,24.4297133944,28.9725092611,25.5020471827,76.19418990060001,76.0967050107,76.1356989667,74.7514135309,90.036935196,29.492363923000003,34.978054695,25.964815599,33.017200538000004,32.073405435,33.241807523,809.856827628,757.435031696,674.90505913,515.718033922
13,130,93.5018804847,31.3100710405,62.9126619306,40.357292101999995,24.8955286252,28.7505223569,25.6999582115,76.0238194735,76.19097367319999,76.15963226080001,77.1207689093,81.80931955550001,31.565607330899997,62.4683174108,39.2669136284,24.6051861961,29.479430688199997,25.3850653149,76.1162019887,76.1746929226,76.3306687463,76.97406901929999,97.478672996,32.249298273,37.709665043,28.153443923,35.685585300999996,34.796030965,36.161046987,874.243497994,825.198784112,734.435585267,557.405030947
14,140,93.1675720852,31.7384036774,62.9544504806,40.378186376900004,24.8850814877,29.1997492687,25.585039699099998,76.2223150857,76.30589218549999,75.7417467614,76.46259924779999,81.497367908,31.8385650224,62.4488204328,39.383895496200005,24.6051861961,29.966855137499998,25.3655683369,76.23318385649999,76.23318385649999,75.1608500682,75.76525638529999,104.78029641100001,34.812343528,40.475600624,30.308076311,38.47512071,37.438871461,38.838994211999996,940.107184367,890.686602795,793.7851163539999,600.971723676
15,150,93.5541161722,31.7906393648,63.215628917699995,41.1617216883,25.1149185123,29.1161721688,25.5328040117,76.2223150857,76.21186794820001,75.5954868366,75.8671124112,81.71183466560001,31.9165529343,62.78026905830001,40.144277636999995,24.741665041900003,29.966855137499998,25.326574381,76.19418990060001,76.23318385649999,75.5702866056,76.2916747904,112.086877925,37.378957474,43.193442008000005,32.487150923,41.214971582,40.049920475,41.488150848000004,1005.44313872,958.798975346,847.992782412,644.9086298980001
16,160,92.7705808608,31.989134977,64.8558295027,42.7705808608,25.302966986999998,29.4504805683,25.491015461800004,75.8462181362,76.21186794820001,74.0179690765,77.48641872130001,81.36088906219999,32.189510625900006,64.184051472,41.6650419185,24.9951257555,30.142327939199998,25.2095925132,75.70676545139999,76.2916747904,73.1916552934,77.20803275489999,119.446484023,40.091082239,46.175629543999996,34.676950575,43.942977135,42.706388449,44.285720008999995,1071.69725413,1023.36852138,903.341022925,686.620055956
17,170,93.46009193479999,31.9995821145,65.26326786460001,42.79147513579999,25.647722524,30.808608441300002,25.4701211868,76.2014208107,76.18052653569998,74.007521939,76.29544504809999,81.5168648859,32.3844804055,64.65197894330001,41.8600116982,25.307077403,31.9945408462,25.1511015793,76.23318385649999,76.0967050107,73.3281341392,75.86274127509999,127.460267942,43.847774083999994,48.918270163,36.840489744,46.602834017,45.398135636000006,46.932910328,1137.48062006,1088.22239662,960.929086265,729.5553605360001
18,180,93.7630589219,32.1562891768,65.3886335144,43.7526117844,26.013372336,30.986209778499997,25.7939824488,76.2223150857,76.24320936059999,75.1253656498,76.8804847472,81.7313316436,32.4429713394,64.5739910314,42.8153636186,25.8529927861,32.1505166699,25.4630532267,76.23318385649999,76.23318385649999,74.7904074868,76.7401052837,135.364804149,47.664540374,51.613842408000004,38.991381678,49.327033477,48.067894851000005,49.618164878,1203.02690768,1151.38328366,1017.6035906999999,769.700847643
19,190,93.9093188466,32.3025491015,65.6916005015,44.191391558700005,26.1805265357,31.2996239031,25.741746761399998,76.2223150857,76.33723359800001,75.64772252399999,76.18052653569998,81.7898225775,32.6184441412,64.9054396569,42.9323454864,26.0284655878,32.345486449599996,25.3850653149,76.2526808345,76.40865665819999,75.4533047378,76.2916747904,143.259608687,50.646792459,54.318451623,41.166756683,51.854664586000005,50.712262966000004,52.297837372,1269.18067633,1216.98053272,1073.62971543,814.7021320169999
20,200,94.01379022149999,32.218972001699996,65.7333890514,44.431675720899996,26.1596322608,32.438361888799996,25.6163811116,76.23276222319998,76.013372336,75.5119097367,77.43418303380001,81.6923376877,32.5014622733,65.1004094365,43.0298303763,26.0479625658,33.398323259899996,25.307077403,76.23318385649999,75.921232209,75.1998440242,77.3445116007,151.29743004,53.334463333,57.039093695,43.314635323999994,54.501349105,53.343614435,55.001222379,1332.66720772,1284.67496976,1129.55453577,859.120418073
