iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.338709761389,0.336505275391,0.336982035577,0.275804429586,0.279147513581,0.282901150322,0.279730259
10,0.335489372221,0.333273793337,0.333851541744,0.280819055579,0.284997910573,0.289530122831,2.66396602
20,0.33534694859,0.333362025552,0.333665062003,0.281132469703,0.284580025073,0.29031000195,5.016498547
30,0.334262121542,0.332019716154,0.332529923517,0.2832218972,0.289176765566,0.291674790407,7.365907283
40,0.328794118468,0.326145249636,0.327170414686,0.289072294191,0.294609277058,0.2965490349,9.798442555
50,0.328628887149,0.325898556038,0.326978867724,0.288863351442,0.294609277058,0.296744004679,12.139176444
60,0.326313748748,0.32349591412,0.324529561232,0.291788549937,0.297952361053,0.299278611815,14.533804299
70,0.324130253891,0.321534308871,0.322224232434,0.296698704555,0.298788132052,0.303178007409,16.928053254
80,0.322583447545,0.319930578433,0.320587439525,0.298161303803,0.302549101546,0.304347826087,19.323353928
90,0.316338274662,0.313780825359,0.313921975762,0.30672795654,0.314667781028,0.312731526613,21.803188045
100,0.315112296737,0.312750535601,0.312747322096,0.310071040535,0.314667781028,0.313316435952,24.191598221
110,0.314820891173,0.312763249127,0.312471890416,0.310071040535,0.31341412453,0.31487619419,26.549039978
120,0.312786177268,0.310824073603,0.310275835017,0.31320518178,0.315921437526,0.316825891987,29.492363923
130,0.313310876454,0.311179012475,0.310704781531,0.313100710405,0.316339323025,0.315656073309,32.249298273
140,0.311295268888,0.309436885886,0.309094075504,0.317384036774,0.319264521521,0.318385650224,34.812343528
150,0.311045502585,0.309224328728,0.308834959494,0.317906393648,0.320518178019,0.319165529343,37.378957474
160,0.30823769289,0.306029273155,0.30647606388,0.31989134977,0.322189720017,0.321895106259,40.091082239
170,0.306617538856,0.304447785507,0.304844421957,0.319995821145,0.325950689511,0.323844804055,43.847774084
180,0.306024878031,0.30416735524,0.304292171151,0.321562891768,0.325950689511,0.324429713394,47.664540374
190,0.305288290832,0.302962811846,0.303461523832,0.323025491015,0.327622231509,0.326184441412,50.646792459
200,0.305247499213,0.302618121189,0.303488730178,0.322189720017,0.322189720017,0.325014622733,53.334463333
210,0.303063293499,0.300420263283,0.301092784421,0.325219389887,0.329711659005,0.330083837005,56.034344557
220,0.302118949437,0.299243448895,0.300301881138,0.32636857501,0.330129544505,0.329693897446,58.689153995
230,0.299445440652,0.296172004593,0.297214425479,0.331278729628,0.336815712495,0.336712809515,61.488596117
240,0.294761544723,0.291327941304,0.292010698885,0.339323025491,0.340994567489,0.344511600702,64.144568133
250,0.292354267462,0.288948388886,0.289497077459,0.342875052236,0.343919765984,0.348995905635,66.837532965
260,0.291357398933,0.28776499119,0.288653133473,0.345382365232,0.349352277476,0.350750633652,69.538422146
270,0.290631396129,0.28697346457,0.287773824945,0.34642707898,0.348934391977,0.352700331449,72.232545913
280,0.287323879839,0.283376517406,0.284350337726,0.352486418721,0.355620559967,0.356014817703,74.913405418
290,0.283853173809,0.280339602304,0.280802194994,0.358441287087,0.362724613456,0.36420354845,77.941536311
300,0.279506418905,0.27614988673,0.276382445229,0.364605098203,0.369828666945,0.372782218756,80.56024164
310,0.277231250505,0.273496557216,0.273972007789,0.367321353949,0.374007521939,0.37629167479,83.258347634
320,0.274155546862,0.270165128086,0.270766916869,0.372127037192,0.377768491433,0.38272567752,85.930229978
330,0.27357975874,0.269546732687,0.270167618328,0.373067279565,0.377768491433,0.38272567752,88.561327999
340,0.271524607006,0.267303375945,0.267997325304,0.377246134559,0.381529460928,0.386625073114,91.223789741
350,0.266970764294,0.262546147557,0.263482477375,0.383618888425,0.389051399916,0.392864106064,93.882967598
360,0.264938000424,0.260036996008,0.261417332384,0.386126201421,0.395319682407,0.396373562098,96.583760509
370,0.260094100649,0.254070647327,0.256363296779,0.396991224405,0.406184705391,0.406317020862,99.260634134
380,0.25640628639,0.250164131443,0.252904829258,0.402528207271,0.412870873381,0.410606356015,101.948839253
390,0.25506002721,0.249063483674,0.251836558184,0.402423735896,0.416631842875,0.412361084032,104.589402003
400,0.252009346159,0.245300410806,0.247701587511,0.407438361889,0.422900125366,0.421524663677,107.375669576
410,0.24528079227,0.237869746676,0.240763889351,0.424049310489,0.439615545341,0.43829206473,110.020567561
420,0.244599402701,0.23688934828,0.240166574053,0.425407438362,0.445048056832,0.441216611425,112.691643614
430,0.241464799948,0.233456246584,0.237036182905,0.429272879231,0.449226911826,0.445895886138,115.388733632
440,0.234037991168,0.225818227962,0.229717640795,0.445674885081,0.462599247806,0.459933710275,118.094390552
450,0.234731587593,0.226946296329,0.230463471616,0.444003343084,0.458420392812,0.459543770716,120.735104641
460,0.220694469343,0.211649978646,0.216834977044,0.469076473046,0.491851232762,0.484694872295,123.421949529
470,0.218466937685,0.209260912916,0.214730408626,0.47325532804,0.494358545758,0.488789237668,126.075417333
480,0.218717799175,0.209652635342,0.21496985985,0.472732971166,0.49352277476,0.488204328329,128.778215943
490,0.218540788673,0.209147248682,0.214980753952,0.475971583786,0.496865858755,0.48781438877,131.432596893
500,0.215004886108,0.205336878638,0.211656522038,0.481299623903,0.503134141245,0.494638331059,134.246867725
