iterations,fitness,time,fevals
0,564.0,8.465295087,1000
10,595.0,16.47772274,2100
20,644.0,23.798603014,3200
30,697.0,30.177885493,4300
40,723.0,35.833067426,5400
50,729.0,41.633012798,6500
60,737.0,47.394971027,7600
70,735.0,52.830448716,8700
80,737.0,58.223873901,9800
90,739.0,64.00692913,10900
100,737.0,69.357656705,12000
110,737.0,74.513204951,13100
120,735.0,79.752586526,14200
130,737.0,84.925043514,15300
140,739.0,90.134921309,16400
150,737.0,95.416886351,17500
160,739.0,100.715885217,18600
170,739.0,105.966738276,19700
180,739.0,111.108241184,20800
190,741.0,116.308275026,21900
200,741.0,121.500190542,23000
210,739.0,126.758338862,24100
220,739.0,131.835728803,25200
230,737.0,137.002585525,26300
240,741.0,142.275789689,27400
250,738.0,147.522002663,28500
260,741.0,152.87734589,29600
270,739.0,158.125085015,30700
280,741.0,163.328695923,31800
290,739.0,168.555392021,32900
300,737.0,173.824132236,34000
310,739.0,179.082015439,35100
320,739.0,184.356149151,36200
330,739.0,189.736156233,37300
340,737.0,195.013595696,38400
350,739.0,200.302605834,39500
360,739.0,205.78709105,40600
370,739.0,211.029738262,41700
380,739.0,216.281963216,42800
390,739.0,221.598272328,43900
400,739.0,226.851237932,45000
410,741.0,232.098340705,46100
420,739.0,237.43952117,47200
430,739.0,242.900516046,48300
440,739.0,248.20920388,49400
450,739.0,253.52625984,50500
460,741.0,258.908963306,51600
470,739.0,264.180306549,52700
480,739.0,269.607781149,53800
490,739.0,274.947450778,54900
500,743.0,280.265829039,56000
510,741.0,285.571176843,57100
520,741.0,290.805601068,58200
530,741.0,296.09613517,59300
540,739.0,301.503943379,60400
550,739.0,306.794899772,61500
560,737.0,312.335000735,62600
570,739.0,317.651092502,63700
580,741.0,322.898671172,64800
590,739.0,328.159902064,65900
600,739.0,333.543094555,67000
610,739.0,338.719591743,68100
620,739.0,344.081503076,69200
630,739.0,349.277116729,70300
640,741.0,354.516275854,71400
650,739.0,359.645884988,72500
660,739.0,365.166006672,73600
670,741.0,370.744289512,74700
680,741.0,376.50616715,75800
690,741.0,382.180798859,76900
700,741.0,387.805762984,78000
710,743.0,393.270485901,79100
720,741.0,398.762527119,80200
730,741.0,404.47379559,81300
740,741.0,410.110638173,82400
750,741.0,415.633516047,83500
760,739.0,421.491196274,84600
770,743.0,427.035149266,85700
780,741.0,432.696784798,86800
790,741.0,438.323745502,87900
800,739.0,443.870653066,89000
810,741.0,449.511597114,90100
820,743.0,455.274486716,91200
830,745.0,460.736831243,92300
840,741.0,466.460093043,93400
850,741.0,472.179735475,94500
860,741.0,477.525240949,95600
870,741.0,482.800407047,96700
880,741.0,488.097334577,97800
890,745.0,493.257687376,98900
900,743.0,498.452791583,100000
910,741.0,503.903550483,101100
920,743.0,509.323679132,102200
930,741.0,514.565243997,103300
940,741.0,519.856168298,104400
950,739.0,525.049457898,105500
960,741.0,530.403858084,106600
970,741.0,535.552700743,107700
980,741.0,540.831556957,108800
990,741.0,546.056421308,109900
1000,739.0,551.217913706,111000
1010,741.0,556.517058441,112100
1020,741.0,561.696576935,113200
1030,743.0,567.010716979,114300
1040,745.0,572.175151914,115400
1050,743.0,577.458817056,116500
1060,745.0,582.655380315,117600
1070,743.0,587.890817234,118700
1080,743.0,593.200189557,119800
1090,745.0,598.336243537,120900
1100,743.0,603.580686028,122000
1110,743.0,608.772308713,123100
1120,743.0,614.295413778,124200
1130,743.0,619.420903213,125300
1140,743.0,624.764272074,126400
1150,743.0,630.01447784,127500
1160,743.0,635.22673439,128600
1170,743.0,640.34084825,129700
1180,743.0,645.572581925,130800
1190,751.0,650.863772437,131900
1200,745.0,656.065946903,133000
1210,745.0,661.227140635,134100
1220,745.0,666.551817144,135200
1230,745.0,671.885568149,136300
1240,745.0,677.190731793,137400
1250,745.0,682.516055595,138500
1260,747.0,687.648991995,139600
1270,745.0,692.846461464,140700
1280,747.0,698.156938014,141800
1290,744.0,703.314131294,142900
1300,743.0,708.494374391,144000
1310,745.0,713.789153274,145100
1320,745.0,718.995516361,146200
