iterations,fitness,time,fevals
0,557.0,8.525062259,1000
10,592.0,16.559567879,2100
20,662.0,23.798124566,3200
30,690.0,30.244360076,4300
40,720.0,36.376168911,5400
50,736.0,42.231782543,6500
60,740.0,47.81036332,7600
70,742.0,53.332537377,8700
80,746.0,58.703680015,9800
90,746.0,64.213142704,10900
100,748.0,69.664288522,12000
110,748.0,75.114620027,13100
120,746.0,80.502202803,14200
130,746.0,85.837403378,15300
140,744.0,91.1946367,16400
150,746.0,96.675122559,17500
160,746.0,102.076002002,18600
170,746.0,107.395989559,19700
180,746.0,112.826969385,20800
190,746.0,118.163485332,21900
200,744.0,123.546467043,23000
210,746.0,129.041276121,24100
220,744.0,134.350308935,25200
230,746.0,139.715266007,26300
240,746.0,145.097978225,27400
250,746.0,150.422894688,28500
260,744.0,155.729772291,29600
270,748.0,161.091929778,30700
280,748.0,166.52878848,31800
290,746.0,171.909282763,32900
300,744.0,177.19876661,34000
310,748.0,182.551938946,35100
320,747.0,187.869793902,36200
330,746.0,193.200175702,37300
340,746.0,198.514707767,38400
350,746.0,203.869799736,39500
360,748.0,209.223826133,40600
370,748.0,214.650464905,41700
380,746.0,220.047441629,42800
390,746.0,225.467451759,43900
400,748.0,230.803449507,45000
410,746.0,236.143082669,46100
420,748.0,241.659210466,47200
430,748.0,247.006224222,48300
440,748.0,252.395049435,49400
450,746.0,257.675309635,50500
460,748.0,263.063584558,51600
470,746.0,268.396312657,52700
480,748.0,273.642365175,53800
490,748.0,278.936787044,54900
500,750.0,284.347680742,56000
510,748.0,289.639228997,57100
520,750.0,294.956934802,58200
530,748.0,300.362764666,59300
540,750.0,305.659919021,60400
550,748.0,311.002765307,61500
560,748.0,316.330101732,62600
570,748.0,321.798720074,63700
580,748.0,327.089146234,64800
590,746.0,332.421730288,65900
600,748.0,337.756703307,67000
610,748.0,343.003152588,68100
620,746.0,348.31324915,69200
630,746.0,353.659244013,70300
640,748.0,359.033187695,71400
650,748.0,364.474083314,72500
660,746.0,369.798838957,73600
670,748.0,375.183456951,74700
680,748.0,380.481072617,75800
690,748.0,385.860585568,76900
700,750.0,391.138666855,78000
710,748.0,396.459665647,79100
720,750.0,401.738304881,80200
730,748.0,407.17825673,81300
740,748.0,412.554393184,82400
750,748.0,417.885692499,83500
760,748.0,423.31437088,84600
770,748.0,428.736523823,85700
780,746.0,434.143968818,86800
790,748.0,439.49286647,87900
800,748.0,444.890839478,89000
810,748.0,450.221356208,90100
820,746.0,455.590260125,91200
830,748.0,460.912169139,92300
840,748.0,466.391932584,93400
850,748.0,471.833098425,94500
860,748.0,477.258180413,95600
870,748.0,482.576723869,96700
880,750.0,487.950820349,97800
890,748.0,493.30174193,98900
900,748.0,498.576680474,100000
910,748.0,503.953309235,101100
920,750.0,509.316112555,102200
930,748.0,514.697417869,103300
940,746.0,520.026598076,104400
950,746.0,525.342693855,105500
960,748.0,530.658164586,106600
970,748.0,536.080847762,107700
980,748.0,541.47005041,108800
990,748.0,546.774578067,109900
1000,746.0,552.271405968,111000
1010,746.0,557.54646923,112100
1020,748.0,562.914875005,113200
1030,748.0,568.225447463,114300
1040,750.0,573.569206158,115400
1050,748.0,578.95209196,116500
1060,748.0,584.32797278,117600
1070,747.0,589.639602422,118700
1080,746.0,594.981137712,119800
1090,748.0,600.2753612,120900
1100,748.0,605.652737903,122000
1110,750.0,611.065503097,123100
1120,750.0,616.461812836,124200
1130,752.0,621.781869681,125300
1140,752.0,627.082356409,126400
1150,752.0,632.403296125,127500
1160,752.0,637.696301608,128600
1170,750.0,643.046773548,129700
1180,751.0,648.371186764,130800
1190,752.0,653.685090865,131900
1200,750.0,658.982016571,133000
1210,750.0,664.386392853,134100
1220,752.0,669.711140837,135200
1230,752.0,675.465711909,136300
1240,752.0,680.969471858,137400
1250,754.0,686.411143499,138500
1260,752.0,691.703418545,139600
1270,752.0,697.392271728,140700
1280,752.0,702.90584901,141800
1290,752.0,708.263875493,142900
1300,754.0,713.612475208,144000
1310,752.0,719.074553524,145100
1320,750.0,724.492638552,146200
1330,750.0,729.857824638,147300
1340,752.0,735.193944915,148400
1350,754.0,740.53261899,149500
1360,752.0,745.94916182,150600
1370,752.0,751.332592078,151700
1380,750.0,756.590751703,152800
1390,750.0,761.931832248,153900
1400,750.0,767.215127613,155000
1410,752.0,772.603032029,156100
1420,752.0,778.085274878,157200
1430,754.0,783.414483164,158300
1440,752.0,788.757210567,159400
1450,752.0,794.135339953,160500
1460,752.0,799.576033909,161600
1470,752.0,804.938387954,162700
1480,750.0,810.290010069,163800
